epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,44.7069,1.83148,1.64116,0.76268,0.53899,0.25992,0.37222,0.15865,1.87874,1.46977,0.72039,0.000707498,0.000707498,0.000707498
104,45.0951,1.82673,1.63203,0.74294,0.53899,0.25992,0.37222,0.15865,1.87874,1.46977,0.72039,0.000700424,0.000700424,0.000700424
105,45.481,2.01419,1.7058,0.72517,0.53899,0.25992,0.37222,0.15865,1.87874,1.46977,0.72039,0.000693351,0.000693351,0.000693351
106,45.9151,2.03441,1.9198,0.72789,0.51335,0.28591,0.38288,0.17304,1.82926,1.44561,0.71608,0.000686277,0.000686277,0.000686277
107,46.309,1.98421,1.82198,0.73914,0.51335,0.28591,0.38288,0.17304,1.82926,1.44561,0.71608,0.000679204,0.000679204,0.000679204
108,46.7331,1.77708,1.56638,0.74343,0.51335,0.28591,0.38288,0.17304,1.82926,1.44561,0.71608,0.00067213,0.00067213,0.00067213
109,47.172,2.1424,1.97383,0.71688,0.51335,0.28591,0.38288,0.17304,1.82926,1.44561,0.71608,0.000665057,0.000665057,0.000665057
110,47.585,1.72091,1.44633,0.75311,0.52032,0.30263,0.38779,0.18271,1.76938,1.42682,0.71663,0.000657983,0.000657983,0.000657983
111,47.9863,1.92407,1.66194,0.72739,0.52032,0.30263,0.38779,0.18271,1.76938,1.42682,0.71663,0.000650909,0.000650909,0.000650909
112,48.4449,1.77733,1.39223,0.76555,0.52032,0.30263,0.38779,0.18271,1.76938,1.42682,0.71663,0.000643836,0.000643836,0.000643836
113,48.8774,1.95094,1.73498,0.73499,0.52032,0.30263,0.38779,0.18271,1.76938,1.42682,0.71663,0.000636762,0.000636762,0.000636762
114,49.3125,1.84477,1.73262,0.73228,0.49461,0.32502,0.3925,0.18907,1.71639,1.38662,0.71769,0.000629689,0.000629689,0.000629689
115,49.7076,2.04135,1.82124,0.72775,0.49461,0.32502,0.3925,0.18907,1.71639,1.38662,0.71769,0.000622615,0.000622615,0.000622615
